,Search Term,animal welfare
474,2013-02-02,53.97929428579407
475,2013-02-09,46.701187191080265
476,2013-02-16,51.55325858755614
477,2013-02-23,51.55325858755614
478,2013-03-02,50.34024073843717
479,2013-03-09,54.58580321035355
480,2013-03-16,52.766276436675106
481,2013-03-23,50.94674966299665
482,2013-03-30,43.062133643723364
483,2013-04-06,45.488169341961296
484,2013-04-13,47.914205040199235
485,2013-04-20,52.15976751211562
486,2013-04-27,53.372785361234584
487,2013-05-04,51.55325858755614
488,2013-05-11,47.914205040199235
489,2013-05-18,55.192312134913045
490,2013-05-25,47.914205040199235
491,2013-06-01,51.55325858755614
492,2013-06-08,46.701187191080265
493,2013-06-15,46.09467826652078
494,2013-06-22,47.914205040199235
495,2013-06-29,44.275151492842326
496,2013-07-06,49.1272228893182
497,2013-07-13,50.34024073843717
498,2013-07-20,48.52071396475871
499,2013-07-27,44.88166041740181
500,2013-08-03,44.275151492842326
501,2013-08-10,50.94674966299665
502,2013-08-17,50.94674966299665
503,2013-08-24,56.40532998403201
504,2013-08-31,44.88166041740181
505,2013-09-07,47.914205040199235
506,2013-09-14,49.1272228893182
507,2013-09-21,50.94674966299665
508,2013-09-28,53.97929428579407
509,2013-10-05,52.766276436675106
510,2013-10-12,49.1272228893182
511,2013-10-19,53.372785361234584
512,2013-10-26,49.1272228893182
513,2013-11-02,55.79882105947252
514,2013-11-09,47.914205040199235
515,2013-11-16,51.55325858755614
516,2013-11-23,46.701187191080265
517,2013-11-30,49.1272228893182
518,2013-12-07,50.34024073843717
519,2013-12-14,43.66864256828285
520,2013-12-21,36.99704439812852
521,2013-12-28,49.73373181387768
522,2014-01-04,57.61834783315097
523,2014-01-11,55.79882105947252
524,2014-01-18,52.766276436675106
525,2014-01-25,54.58580321035355
526,2014-02-01,54.58580321035355
527,2014-02-08,52.15976751211562
528,2014-02-15,54.58580321035355
529,2014-02-22,57.61834783315097
530,2014-03-01,60.04438353138891
531,2014-03-08,50.94674966299665
532,2014-03-15,57.61834783315097
533,2014-03-22,55.192312134913045
534,2014-03-29,49.73373181387768
535,2014-04-05,55.192312134913045
536,2014-04-12,50.34024073843717
537,2014-04-19,53.372785361234584
538,2014-04-26,54.58580321035355
539,2014-05-03,53.97929428579407
540,2014-05-10,55.192312134913045
541,2014-05-17,58.224856757710455
542,2014-05-24,48.52071396475871
543,2014-05-31,51.55325858755614
544,2014-06-07,47.914205040199235
545,2014-06-14,48.52071396475871
546,2014-06-21,47.30769611563975
547,2014-06-28,43.062133643723364
548,2014-07-05,51.55325858755614
549,2014-07-12,46.09467826652078
550,2014-07-19,43.062133643723364
551,2014-07-26,44.275151492842326
552,2014-08-02,52.15976751211562
553,2014-08-09,44.88166041740181
554,2014-08-16,48.52071396475871
555,2014-08-23,46.09467826652078
556,2014-08-30,41.849115794604394
557,2014-09-06,49.1272228893182
558,2014-09-13,47.914205040199235
559,2014-09-20,56.40532998403201
560,2014-09-27,57.01183890859149
561,2014-10-04,55.192312134913045
562,2014-10-11,42.45562471916388
563,2014-10-18,47.30769611563975
564,2014-10-25,57.01183890859149
565,2014-11-01,51.55325858755614
566,2014-11-08,52.15976751211562
567,2014-11-15,57.01183890859149
568,2014-11-22,43.062133643723364
569,2014-11-29,48.52071396475871
570,2014-12-06,54.58580321035355
571,2014-12-13,46.09467826652078
572,2014-12-20,30.931955152533686
