,Search Term,plant based recipes
684,2022-01-08,34.04761904761905
685,2022-01-15,28.599999999999998
686,2022-01-22,27.23809523809524
687,2022-01-29,28.599999999999998
688,2022-02-05,25.876190476190473
689,2022-02-12,27.91904761904762
690,2022-02-19,27.91904761904762
691,2022-02-26,23.152380952380952
692,2022-03-05,23.833333333333336
693,2022-03-12,21.79047619047619
694,2022-03-19,19.747619047619047
695,2022-03-26,21.79047619047619
696,2022-04-02,22.47142857142857
697,2022-04-09,21.79047619047619
698,2022-04-16,21.109523809523807
699,2022-04-23,23.833333333333336
700,2022-04-30,20.42857142857143
701,2022-05-07,19.747619047619047
702,2022-05-14,22.47142857142857
703,2022-05-21,19.066666666666666
704,2022-05-28,19.066666666666666
705,2022-06-04,22.47142857142857
706,2022-06-11,22.47142857142857
707,2022-06-18,21.79047619047619
708,2022-06-25,19.066666666666666
709,2022-07-02,20.42857142857143
710,2022-07-09,19.747619047619047
711,2022-07-16,23.833333333333336
712,2022-07-23,20.42857142857143
713,2022-07-30,21.79047619047619
714,2022-08-06,17.704761904761902
715,2022-08-13,21.79047619047619
716,2022-08-20,23.152380952380952
717,2022-08-27,17.023809523809526
718,2022-09-03,17.704761904761902
719,2022-09-10,14.980952380952381
720,2022-09-17,14.980952380952381
721,2022-09-24,17.023809523809526
722,2022-10-01,16.34285714285714
723,2022-10-08,18.385714285714286
724,2022-10-15,17.023809523809526
725,2022-10-22,19.747619047619047
726,2022-10-29,14.980952380952381
727,2022-11-05,16.34285714285714
728,2022-11-12,17.023809523809526
729,2022-11-19,14.299999999999999
730,2022-11-26,15.661904761904763
731,2022-12-03,14.299999999999999
732,2022-12-10,14.980952380952381
733,2022-12-17,14.299999999999999
734,2022-12-24,19.066666666666666
735,2022-12-31,24.514285714285712
736,2023-01-07,22.47142857142857
737,2023-01-14,18.385714285714286
738,2023-01-21,21.109523809523807
739,2023-01-28,19.747619047619047
740,2023-02-04,21.109523809523807
741,2023-02-11,18.385714285714286
