,Search Term,food
560,2014-09-20,59.820841206522516
561,2014-09-27,57.54916369235078
562,2014-10-04,59.06361536846527
563,2014-10-11,57.54916369235078
564,2014-10-18,61.335292882637006
565,2014-10-25,58.30638953040802
566,2014-11-01,60.57806704457976
567,2014-11-08,59.820841206522516
568,2014-11-15,61.335292882637006
569,2014-11-22,59.06361536846527
570,2014-11-29,58.30638953040802
571,2014-12-06,56.79193785429353
572,2014-12-13,59.820841206522516
573,2014-12-20,56.79193785429353
574,2014-12-27,59.820841206522516
575,2015-01-03,60.57806704457976
576,2015-01-10,62.09251872069426
577,2015-01-17,59.820841206522516
578,2015-01-24,60.57806704457976
579,2015-01-31,58.30638953040802
580,2015-02-07,59.820841206522516
581,2015-02-14,60.57806704457976
582,2015-02-21,62.849744558751496
583,2015-02-28,62.849744558751496
584,2015-03-07,62.09251872069426
585,2015-03-14,61.335292882637006
586,2015-03-21,59.06361536846527
587,2015-03-28,62.09251872069426
588,2015-04-04,65.12142207292324
589,2015-04-11,61.335292882637006
590,2015-04-18,65.12142207292324
591,2015-04-25,62.09251872069426
592,2015-05-02,66.63587374903774
593,2015-05-09,64.36419623486599
594,2015-05-16,64.36419623486599
595,2015-05-23,60.57806704457976
596,2015-05-30,65.87864791098048
597,2015-06-06,65.87864791098048
598,2015-06-13,66.63587374903774
599,2015-06-20,62.09251872069426
600,2015-06-27,64.36419623486599
601,2015-07-04,64.36419623486599
602,2015-07-11,66.63587374903774
603,2015-07-18,65.12142207292324
604,2015-07-25,66.63587374903774
605,2015-08-01,65.87864791098048
606,2015-08-08,65.12142207292324
607,2015-08-15,62.09251872069426
608,2015-08-22,65.12142207292324
609,2015-08-29,65.12142207292324
610,2015-09-05,66.63587374903774
611,2015-09-12,66.63587374903774
612,2015-09-19,63.60697039680875
613,2015-09-26,65.12142207292324
614,2015-10-03,64.36419623486599
615,2015-10-10,65.12142207292324
616,2015-10-17,63.60697039680875
617,2015-10-24,65.87864791098048
618,2015-10-31,65.12142207292324
619,2015-11-07,63.60697039680875
620,2015-11-14,65.87864791098048
621,2015-11-21,65.87864791098048
622,2015-11-28,63.60697039680875
623,2015-12-05,64.36419623486599
624,2015-12-12,65.87864791098048
625,2015-12-19,66.63587374903774
626,2015-12-26,66.63587374903774
627,2016-01-02,65.87864791098048
628,2016-01-09,66.63587374903774
629,2016-01-16,62.09251872069426
630,2016-01-23,62.09251872069426
631,2016-01-30,66.63587374903774
632,2016-02-06,68.15032542515223
633,2016-02-13,66.63587374903774
634,2016-02-20,66.63587374903774
635,2016-02-27,65.87864791098048
636,2016-03-05,68.15032542515223
637,2016-03-12,68.15032542515223
638,2016-03-19,65.87864791098048
639,2016-03-26,69.66477710126672
640,2016-04-02,67.393099587095
641,2016-04-09,66.63587374903774
642,2016-04-16,70.42200293932397
643,2016-04-23,67.393099587095
644,2016-04-30,70.42200293932397
645,2016-05-07,68.15032542515223
646,2016-05-14,69.66477710126672
647,2016-05-21,67.393099587095
648,2016-05-28,68.90755126320948
649,2016-06-04,70.42200293932397
650,2016-06-11,69.66477710126672
651,2016-06-18,75.7225838057247
652,2016-06-25,68.90755126320948
653,2016-07-02,67.393099587095
654,2016-07-09,68.15032542515223
655,2016-07-16,69.66477710126672
656,2016-07-23,71.93645461543848
657,2016-07-30,71.93645461543848
658,2016-08-06,66.63587374903774
659,2016-08-13,62.09251872069426
660,2016-08-20,69.66477710126672
661,2016-08-27,67.393099587095
662,2016-09-03,71.93645461543848
663,2016-09-10,70.42200293932397
664,2016-09-17,68.90755126320948
665,2016-09-24,71.17922877738123
666,2016-10-01,67.393099587095
667,2016-10-08,71.93645461543848
668,2016-10-15,71.17922877738123
669,2016-10-22,71.17922877738123
670,2016-10-29,73.45090629155297
671,2016-11-05,70.42200293932397
672,2016-11-12,71.93645461543848
673,2016-11-19,69.66477710126672
674,2016-11-26,71.94494369434045
675,2016-12-03,70.98567777841592
676,2016-12-10,70.98567777841592
677,2016-12-17,69.06714594656684
678,2016-12-24,71.94494369434045
679,2016-12-31,72.90420961026501
680,2017-01-07,68.1078800306423
681,2017-01-14,71.94494369434045
682,2017-01-21,70.98567777841592
683,2017-01-28,71.94494369434045
684,2017-02-04,70.02641186249139
685,2017-02-11,70.98567777841592
686,2017-02-18,70.98567777841592
687,2017-02-25,72.90420961026501
688,2017-03-04,74.82274144211408
689,2017-03-11,71.94494369434045
690,2017-03-18,75.78200735803863
691,2017-03-25,77.70053918988769
692,2017-04-01,74.82274144211408
693,2017-04-08,76.74127327396316
694,2017-04-15,73.86347552618955
695,2017-04-22,73.86347552618955
696,2017-04-29,76.74127327396316
697,2017-05-06,73.86347552618955
698,2017-05-13,70.98567777841592
699,2017-05-20,79.61907102173677
700,2017-05-27,77.70053918988769
701,2017-06-03,72.90420961026501
702,2017-06-10,77.70053918988769
703,2017-06-17,77.70053918988769
704,2017-06-24,76.74127327396316
705,2017-07-01,81.53760285358587
706,2017-07-08,77.70053918988769
707,2017-07-15,77.70053918988769
708,2017-07-22,77.70053918988769
709,2017-07-29,78.65980510581224
710,2017-08-05,77.70053918988769
711,2017-08-12,78.65980510581224
712,2017-08-19,75.78200735803863
713,2017-08-26,75.78200735803863
714,2017-09-02,77.70053918988769
715,2017-09-09,77.70053918988769
716,2017-09-16,80.5783369376613
717,2017-09-23,79.61907102173677
718,2017-09-30,77.70053918988769
719,2017-10-07,73.86347552618955
720,2017-10-14,76.74127327396316
721,2017-10-21,74.82274144211408
722,2017-10-28,75.78200735803863
723,2017-11-04,78.65980510581224
724,2017-11-11,78.65980510581224
725,2017-11-18,78.65980510581224
726,2017-11-25,76.74127327396316
727,2017-12-02,76.74127327396316
728,2017-12-09,74.82274144211408
729,2017-12-16,74.82274144211408
730,2017-12-23,77.70053918988769
731,2017-12-30,81.53760285358587
732,2018-01-06,75.78200735803863
733,2018-01-13,78.65980510581224
734,2018-01-20,76.74127327396316
735,2018-01-27,77.70053918988769
736,2018-02-03,75.78200735803863
737,2018-02-10,78.65980510581224
738,2018-02-17,80.5783369376613
739,2018-02-24,79.61907102173677
740,2018-03-03,79.61907102173677
741,2018-03-10,83.45613468543493
742,2018-03-17,77.70053918988769
743,2018-03-24,82.4968687695104
744,2018-03-31,82.4968687695104
745,2018-04-07,76.74127327396316
746,2018-04-14,77.70053918988769
747,2018-04-21,80.5783369376613
748,2018-04-28,79.61907102173677
749,2018-05-05,78.65980510581224
750,2018-05-12,78.65980510581224
751,2018-05-19,79.61907102173677
752,2018-05-26,83.45613468543493
753,2018-06-02,80.5783369376613
754,2018-06-09,85.37466651728401
755,2018-06-16,77.70053918988769
756,2018-06-23,81.53760285358587
757,2018-06-30,83.45613468543493
758,2018-07-07,81.53760285358587
759,2018-07-14,83.45613468543493
760,2018-07-21,83.45613468543493
761,2018-07-28,84.41540060135948
762,2018-08-04,86.33393243320855
763,2018-08-11,86.33393243320855
764,2018-08-18,85.37466651728401
765,2018-08-25,79.61907102173677
766,2018-09-01,80.5783369376613
767,2018-09-08,83.45613468543493
768,2018-09-15,82.4968687695104
769,2018-09-22,82.4968687695104
770,2018-09-29,81.53760285358587
771,2018-10-06,80.5783369376613
772,2018-10-13,83.45613468543493
773,2018-10-20,81.53760285358587
774,2018-10-27,82.4968687695104
775,2018-11-03,81.53760285358587
776,2018-11-10,82.4968687695104
777,2018-11-17,77.70053918988769
778,2018-11-24,79.61907102173677
779,2018-12-01,84.41540060135948
780,2018-12-08,84.41540060135948
781,2018-12-15,82.4968687695104
782,2018-12-22,88.25246426505764
783,2018-12-29,87.2931983491331
784,2019-01-05,85.37466651728401
785,2019-01-12,84.41540060135948
786,2019-01-19,82.4968687695104
787,2019-01-26,80.5783369376613
788,2019-02-02,84.41540060135948
789,2019-02-09,81.53760285358587
790,2019-02-16,86.33393243320855
791,2019-02-23,88.25246426505764
792,2019-03-02,85.37466651728401
793,2019-03-09,82.4968687695104
794,2019-03-16,88.25246426505764
795,2019-03-23,85.37466651728401
796,2019-03-30,86.33393243320855
797,2019-04-06,84.41540060135948
798,2019-04-13,92.08952792875579
799,2019-04-20,82.4968687695104
800,2019-04-27,88.25246426505764
801,2019-05-04,87.2931983491331
802,2019-05-11,90.17099609690672
803,2019-05-18,85.37466651728401
804,2019-05-25,87.2931983491331
805,2019-06-01,88.25246426505764
806,2019-06-08,87.2931983491331
807,2019-06-15,86.33393243320855
808,2019-06-22,87.2931983491331
809,2019-06-29,93.04879384468033
810,2019-07-06,92.08952792875579
811,2019-07-13,91.13026201283125
812,2019-07-20,88.25246426505764
813,2019-07-27,91.13026201283125
814,2019-08-03,91.13026201283125
815,2019-08-10,90.17099609690672
816,2019-08-17,93.04879384468033
817,2019-08-24,88.25246426505764
818,2019-08-31,90.17099609690672
819,2019-09-07,91.13026201283125
820,2019-09-14,89.21173018098217
821,2019-09-21,90.17099609690672
822,2019-09-28,88.25246426505764
823,2019-10-05,85.37466651728401
824,2019-10-12,89.21173018098217
825,2019-10-19,92.08952792875579
826,2019-10-26,84.41540060135948
827,2019-11-02,86.33393243320855
828,2019-11-09,86.33393243320855
829,2019-11-16,89.21173018098217
830,2019-11-23,81.53760285358587
831,2019-11-30,87.2931983491331
832,2019-12-07,83.45613468543493
833,2019-12-14,85.37466651728401
834,2019-12-21,95.92659159245396
835,2019-12-28,94.00805976060487
836,2020-01-04,90.17099609690672
837,2020-01-11,86.33393243320855
838,2020-01-18,85.37466651728401
839,2020-01-25,88.95227159038924
840,2020-02-01,86.95334413891983
841,2020-02-08,86.95334413891983
842,2020-02-15,85.95388041318512
843,2020-02-22,87.95280786465453
844,2020-02-29,87.95280786465453
845,2020-03-07,83.95495296171569
846,2020-03-14,87.95280786465453
847,2020-03-21,84.9544166874504
848,2020-03-28,90.95119904185867
849,2020-04-04,90.95119904185867
850,2020-04-11,89.95173531612396
851,2020-04-18,91.95066276759339
852,2020-04-25,90.95119904185867
853,2020-05-02,88.95227159038924
854,2020-05-09,91.95066276759339
855,2020-05-16,88.95227159038924
856,2020-05-23,80.95656178451156
857,2020-05-30,86.95334413891983
858,2020-06-06,86.95334413891983
859,2020-06-13,86.95334413891983
860,2020-06-20,90.95119904185867
861,2020-06-27,93.9495902190628
862,2020-07-04,90.95119904185867
863,2020-07-11,85.95388041318512
