ds,vegan,vegetarian,plant_based_plus_plant_based,vegan_informative,vegetarian_informative,plant based_informative,vegan_behavior,vegetarian_behavior,plant based_behavior,behavior_bare,informative_bare,food
2011-05-21,9.0,14.060572101244237,0.33060868966570034,4.752578068192913,7.885229135861632,0.33060868966570034,4.247421931807087,6.175342965382605,0.0,1163.9842118932918,492.1692084041728,492.6847290640393
2011-05-28,10.0,13.856795693979826,0.3581594138045087,5.34408411244294,7.5067490821864045,0.3581594138045087,4.65591588755706,6.350046611793422,0.0,1215.072533494696,521.6771711398825,522.3645320197044
2011-06-04,9.0,14.671901323037464,0.23418115517987106,4.601849500947238,8.55516089738812,0.23418115517987106,4.398150499052762,6.116740425649344,0.0,1200.2197268467855,539.4850529132815,540.1724137931034
2011-06-11,9.0,14.264348508508645,0.33308554950733976,4.603358296514631,7.739475695850742,0.33308554950733976,4.396641703485369,6.524872812657903,0.0,1362.0482413252587,509.862530030935,510.4926108374384
2011-06-18,9.0,14.060572101244237,0.27550724138808363,4.672150840115527,8.014629216706982,0.27550724138808363,4.327849159884473,6.045942884537253,0.0,1322.5203627933222,515.569370328794,516.4285714285713
2011-06-25,9.0,17.320994617474785,0.328345951065503,4.516002934552155,11.04375910037539,0.328345951065503,4.483997065447845,6.277235517099395,0.0,1353.7700207770567,521.505330919927,522.3645320197044
2011-07-02,10.0,15.28323054483069,0.33060868966570034,5.382860809053816,8.933512199293151,0.33060868966570034,4.617139190946184,6.34971834553754,0.0,1457.1600759231287,497.8760487020319,498.6206896551723
2011-07-09,8.0,14.875677730301874,0.3960913921124252,3.6068746130851626,8.288302210465256,0.3960913921124252,4.3931253869148374,6.587375519836618,0.0,1394.2741641523062,503.75472921984635,504.55665024630525
2011-07-16,9.0,13.449242879451008,0.375543005015651,4.74116254572319,6.953626438739789,0.375543005015651,4.25883745427681,6.495616440711219,0.0,1375.9747088055683,515.3975301088384,516.4285714285713
2011-07-23,9.0,13.856795693979826,0.2928908325992259,4.336824645213677,7.483357972913575,0.2928908325992259,4.663175354786323,6.373437721066251,0.0,1393.326890104072,503.69744914652784,504.55665024630525
2011-07-30,9.0,14.060572101244237,0.3086996212541633,4.6192278988021975,7.0975231226906175,0.3086996212541633,4.3807721011978025,6.963048978553619,0.0,1393.0648450327935,521.6198910665639,522.3645320197044
