,Search Term,what the health
316,2022-12-17,1.5971223021582734
317,2022-12-24,1.3974820143884892
318,2022-12-31,2.5953237410071943
319,2023-01-07,4.591726618705036
320,2023-01-14,4.658273381294964
321,2023-01-21,3.460431654676259
322,2023-01-28,2.7949640287769784
323,2023-02-04,2.9280575539568345
324,2023-02-11,2.262589928057554
325,2023-02-18,2.262589928057554
326,2023-02-25,2.462230215827338
327,2023-03-04,2.262589928057554
328,2023-03-11,2.1294964028776975
329,2023-03-18,2.329136690647482
330,2023-03-25,1.9964028776978417
331,2023-04-01,1.9964028776978417
332,2023-04-08,2.196043165467626
333,2023-04-15,2.5287769784172665
334,2023-04-22,2.1294964028776975
335,2023-04-29,1.9298561151079137
336,2023-05-06,2.661870503597122
337,2023-05-13,2.1294964028776975
338,2023-05-20,1.8633093525179854
339,2023-05-27,1.7967625899280575
340,2023-06-03,1.9298561151079137
341,2023-06-10,1.8633093525179854
342,2023-06-17,1.7302158273381294
343,2023-06-24,1.6636690647482015
344,2023-07-01,1.4640287769784173
345,2023-07-08,1.7967625899280575
346,2023-07-15,1.5971223021582734
347,2023-07-22,1.6636690647482015
348,2023-07-29,1.5971223021582734
349,2023-08-05,1.9298561151079137
350,2023-08-12,2.196043165467626
351,2023-08-19,1.9964028776978417
352,2023-08-26,1.7302158273381294
353,2023-09-02,1.8633093525179854
354,2023-09-09,1.3974820143884892
355,2023-09-16,1.5305755395683454
356,2023-09-23,1.4640287769784173
357,2023-09-30,1.4640287769784173
358,2023-10-07,1.8633093525179854
359,2023-10-14,2.8615107913669067
360,2023-10-21,2.9946043165467624
361,2023-10-28,2.1294964028776975
362,2023-11-04,1.7302158273381294
363,2023-11-11,1.6636690647482015
364,2023-11-18,1.6636690647482015
365,2023-11-25,1.5305755395683454
366,2023-12-02,1.330935251798561
367,2023-12-09,1.5305755395683454
368,2023-12-16,1.197841726618705
369,2023-12-23,1.4640287769784173
370,2023-12-30,2.0629496402877696
371,2024-01-06,2.262589928057554
372,2024-01-13,2.196043165467626
373,2024-01-20,1.9964028776978417
374,2024-01-27,2.196043165467626
375,2024-02-03,1.9964028776978417
376,2024-02-10,1.7967625899280575
377,2024-02-17,1.7967625899280575
378,2024-02-24,1.7302158273381294
379,2024-03-02,1.6636690647482015
380,2024-03-09,1.3974820143884892
381,2024-03-16,1.330935251798561
382,2024-03-23,1.4640287769784173
383,2024-03-30,1.330935251798561
384,2024-04-06,0.9316546762589927
385,2024-04-13,1.197841726618705
386,2024-04-20,1.197841726618705
387,2024-04-27,1.131294964028777
388,2024-05-04,1.2643884892086332
389,2024-05-11,1.197841726618705
390,2024-05-18,1.0647482014388487
391,2024-05-25,0.8651079136690647
