,Search Term,forks over knives
464,2017-10-21,28.999361022364216
465,2017-10-28,26.622364217252397
466,2017-11-04,27.097763578274765
467,2017-11-11,25.19616613418531
468,2017-11-18,20.917571884984028
469,2017-11-25,20.442172523961663
470,2017-12-02,25.67156549520767
471,2017-12-09,25.67156549520767
472,2017-12-16,24.720766773162943
473,2017-12-23,31.851757188498407
474,2017-12-30,46.589137380191694
475,2018-01-06,40.884345047923325
476,2018-01-13,34.704153354632595
477,2018-01-20,35.65495207667732
478,2018-01-27,38.03194888178914
479,2018-02-03,31.376357827476042
480,2018-02-10,32.32715654952077
481,2018-02-17,29.474760383386588
482,2018-02-24,30.900958466453677
483,2018-03-03,30.900958466453677
484,2018-03-10,32.32715654952077
485,2018-03-17,27.57316293929713
486,2018-03-24,27.57316293929713
487,2018-03-31,29.474760383386588
488,2018-04-07,27.097763578274765
489,2018-04-14,27.097763578274765
490,2018-04-21,25.19616613418531
491,2018-04-28,26.14696485623004
492,2018-05-05,24.720766773162943
493,2018-05-12,24.720766773162943
494,2018-05-19,23.769968051118212
495,2018-05-26,23.769968051118212
496,2018-06-02,23.769968051118212
497,2018-06-09,23.294568690095847
498,2018-06-16,23.294568690095847
499,2018-06-23,23.294568690095847
500,2018-06-30,22.81916932907349
501,2018-07-07,23.294568690095847
502,2018-07-14,25.19616613418531
503,2018-07-21,25.19616613418531
504,2018-07-28,24.245367412140574
505,2018-08-04,24.720766773162943
506,2018-08-11,23.294568690095847
507,2018-08-18,23.294568690095847
508,2018-08-25,24.245367412140574
509,2018-09-01,20.442172523961663
510,2018-09-08,21.86837060702876
511,2018-09-15,22.343769968051124
512,2018-09-22,21.86837060702876
513,2018-09-29,21.86837060702876
514,2018-10-06,22.343769968051124
515,2018-10-13,20.917571884984028
516,2018-10-20,19.9667731629393
517,2018-10-27,20.442172523961663
518,2018-11-03,21.392971246006393
519,2018-11-10,21.392971246006393
520,2018-11-17,20.917571884984028
521,2018-11-24,22.81916932907349
522,2018-12-01,21.392971246006393
523,2018-12-08,19.491373801916936
524,2018-12-15,18.540575079872205
525,2018-12-22,22.81916932907349
526,2018-12-29,29.474760383386588
527,2019-01-05,29.474760383386588
528,2019-01-12,24.245367412140574
529,2019-01-19,24.245367412140574
530,2019-01-26,24.720766773162943
531,2019-02-02,23.294568690095847
532,2019-02-09,23.769968051118212
533,2019-02-16,25.67156549520767
534,2019-02-23,22.81916932907349
535,2019-03-02,21.392971246006393
536,2019-03-09,23.769968051118212
537,2019-03-16,22.343769968051124
538,2019-03-23,22.343769968051124
539,2019-03-30,22.81916932907349
540,2019-04-06,22.81916932907349
541,2019-04-13,27.097763578274765
542,2019-04-20,22.81916932907349
543,2019-04-27,23.294568690095847
544,2019-05-04,23.294568690095847
545,2019-05-11,23.294568690095847
546,2019-05-18,22.343769968051124
547,2019-05-25,19.9667731629393
548,2019-06-01,20.442172523961663
549,2019-06-08,21.392971246006393
550,2019-06-15,21.86837060702876
551,2019-06-22,22.81916932907349
552,2019-06-29,22.81916932907349
553,2019-07-06,25.19616613418531
554,2019-07-13,24.720766773162943
555,2019-07-20,23.294568690095847
556,2019-07-27,22.81916932907349
557,2019-08-03,25.67156549520767
558,2019-08-10,25.67156549520767
559,2019-08-17,27.097763578274765
560,2019-08-24,24.720766773162943
561,2019-08-31,26.14696485623004
562,2019-09-07,25.19616613418531
563,2019-09-14,23.769968051118212
564,2019-09-21,26.14696485623004
565,2019-09-28,26.622364217252397
566,2019-10-05,29.95015974440895
567,2019-10-12,34.228753993610226
568,2019-10-19,38.50734824281151
569,2019-10-26,38.50734824281151
570,2019-11-02,38.98274760383387
571,2019-11-09,37.08115015974441
572,2019-11-16,37.08115015974441
573,2019-11-23,32.32715654952077
574,2019-11-30,30.900958466453677
575,2019-12-07,29.95015974440895
576,2019-12-14,27.097763578274765
577,2019-12-21,31.851757188498407
578,2019-12-28,47.539936102236425
579,2020-01-04,45.63833865814698
580,2020-01-11,40.884345047923325
581,2020-01-18,36.605750798722056
582,2020-01-25,35.783670315221286
583,2020-02-01,33.278813393155794
584,2020-02-08,32.20530328369915
585,2020-02-15,33.99448679946022
586,2020-02-22,33.278813393155794
587,2020-02-29,29.700446361633663
588,2020-03-07,27.195589439568174
589,2020-03-14,21.828038892284983
590,2020-03-21,20.03885537652392
591,2020-03-28,21.112365485980558
592,2020-04-04,22.185875595437196
593,2020-04-11,23.259385704893834
594,2020-04-18,22.185875595437196
595,2020-04-25,23.259385704893834
596,2020-05-02,25.406405923807114
597,2020-05-09,25.406405923807114
598,2020-05-16,21.828038892284983
599,2020-05-23,20.754528782828345
600,2020-05-30,20.754528782828345
601,2020-06-06,20.396692079676132
602,2020-06-13,22.54371229858941
603,2020-06-20,22.185875595437196
604,2020-06-27,21.828038892284983
605,2020-07-04,25.764242626959323
606,2020-07-11,28.98477295532924
607,2020-07-18,26.837752736415965
608,2020-07-25,21.112365485980558
609,2020-08-01,23.259385704893834
610,2020-08-08,22.185875595437196
611,2020-08-15,20.754528782828345
612,2020-08-22,19.681018673371707
613,2020-08-29,20.754528782828345
614,2020-09-05,21.47020218913277
615,2020-09-12,18.249671860762856
616,2020-09-19,18.249671860762856
617,2020-09-26,19.323181970219494
618,2020-10-03,18.249671860762856
619,2020-10-10,17.891835157610643
620,2020-10-17,15.02914153239294
621,2020-10-24,17.891835157610643
622,2020-10-31,15.02914153239294
623,2020-11-07,15.744814938697365
624,2020-11-14,15.02914153239294
625,2020-11-21,15.744814938697365
626,2020-11-28,14.671304829240729
627,2020-12-05,14.671304829240729
628,2020-12-12,13.955631422936301
629,2020-12-19,16.460488345001792
630,2020-12-26,22.185875595437196
631,2021-01-02,20.754528782828345
632,2021-01-09,20.03885537652392
633,2021-01-16,18.965345267067278
634,2021-01-23,18.249671860762856
635,2021-01-30,17.53399845445843
636,2021-02-06,17.176161751306214
637,2021-02-13,17.176161751306214
638,2021-02-20,15.744814938697365
639,2021-02-27,16.102651641849576
640,2021-03-06,15.02914153239294
641,2021-03-13,15.02914153239294
642,2021-03-20,15.38697823554515
643,2021-03-27,17.53399845445843
644,2021-04-03,16.460488345001792
645,2021-04-10,16.102651641849576
646,2021-04-17,16.102651641849576
647,2021-04-24,15.38697823554515
648,2021-05-01,14.671304829240729
649,2021-05-08,15.744814938697365
650,2021-05-15,14.671304829240729
651,2021-05-22,16.102651641849576
652,2021-05-29,14.671304829240729
653,2021-06-05,15.744814938697365
654,2021-06-12,15.38697823554515
655,2021-06-19,14.313468126088512
656,2021-06-26,13.955631422936301
657,2021-07-03,14.313468126088512
658,2021-07-10,13.955631422936301
659,2021-07-17,13.955631422936301
660,2021-07-24,13.955631422936301
661,2021-07-31,13.597794719784087
662,2021-08-07,12.882121313479661
663,2021-08-14,13.955631422936301
664,2021-08-21,14.671304829240729
665,2021-08-28,13.239958016631876
666,2021-09-04,13.955631422936301
667,2021-09-11,12.882121313479661
668,2021-09-18,13.597794719784087
669,2021-09-25,13.955631422936301
670,2021-10-02,12.882121313479661
671,2021-10-09,13.597794719784087
672,2021-10-16,13.597794719784087
673,2021-10-23,12.166447907175236
674,2021-10-30,12.166447907175236
675,2021-11-06,13.597794719784087
676,2021-11-13,13.239958016631876
677,2021-11-20,12.524284610327449
678,2021-11-27,12.166447907175236
679,2021-12-04,12.166447907175236
680,2021-12-11,12.166447907175236
681,2021-12-18,11.808611204023025
682,2021-12-25,15.744814938697365
683,2022-01-01,18.249671860762856
684,2022-01-08,16.460488345001792
685,2022-01-15,14.671304829240729
686,2022-01-22,14.313468126088512
687,2022-01-29,14.313468126088512
688,2022-02-05,15.02914153239294
689,2022-02-12,13.955631422936301
