ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2009-03-31,63,4,15.0,3.5999999999999996,0.15000000000000002,0.6000000000000001,0.35000000000000003,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,12.75,2.6842105263157894,0.13085526315789475,0.2180921052631579,0.04697368421052632,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2009-04-30,64,5,16.0,3.51,0.20000000000000004,0.78,0.56,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,18.11842105263158,4.194078947368421,0.19628289473684213,0.3355263157894737,0.07046052631578947,0.0,0.0,0.0,0.0,0.0,0.9525817555938039,0.0
2009-05-31,65,6,17.0,3.69,0.20000000000000004,0.81,0.49000000000000005,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,22.144736842105264,4.865131578947368,0.3271381578947369,0.5200657894736842,0.14092105263157895,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-06-30,66,7,15.0,3.5999999999999996,0.20000000000000004,0.8400000000000001,0.42000000000000004,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,22.144736842105264,5.871710526315789,0.3271381578947369,0.5536184210526316,0.11743421052631581,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-07-31,67,8,16.0,3.42,0.20000000000000004,0.81,0.42000000000000004,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,19.460526315789473,5.032894736842105,0.2617105263157895,0.48651315789473687,0.11743421052631581,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-08-31,68,9,52.0,4.2299999999999995,0.30000000000000004,1.05,0.42000000000000004,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,20.802631578947366,6.039473684210526,0.45799342105263163,0.5536184210526316,0.04697368421052632,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-09-30,69,10,23.0,4.41,0.3500000000000001,1.2000000000000002,0.77,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,18.789473684210527,5.536184210526316,0.3271381578947369,0.587171052631579,0.04697368421052632,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-10-31,70,11,36.0,6.12,0.45000000000000007,1.53,0.6300000000000001,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,18.789473684210527,5.200657894736842,0.2617105263157895,0.5368421052631579,0.04697368421052632,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-11-30,71,12,26.0,4.5,0.4000000000000001,1.32,0.35000000000000003,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,18.11842105263158,4.865131578947368,0.3271381578947369,0.5368421052631579,0.04697368421052632,0.0,0.0,0.0,0.36,0.0,0.9525817555938039,0.36
2009-12-31,72,1,21.0,4.2299999999999995,0.25000000000000006,1.1700000000000002,0.35000000000000003,0.0,0.2857142857142857,0.45,0.0,0.2168674698795181,18.11842105263158,4.697368421052632,0.3271381578947369,0.587171052631579,0.04697368421052632,0.0,0.0,0.0,1.08,0.0,0.9525817555938039,1.08
